,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
33,0.01,0.03,0.04,0.02,0.06,0.0,0.02,0.03,0.05,0.115,0.02
34,0.0,0.02,0.045,0.0,0.02,0.01,0.07,0.0,0.05,0.06,0.0
35,0.0,0.02333333333333333,0.03333333333333333,0.01,0.01,0.04,0.04,0.03,0.03,0.03,0.01
36,0.0,0.0,0.02,0.0,0.02,0.0,0.04,0.02,0.04,0.025,0.0
37,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.06,0.01
38,0.4,0.0,0.02,0.03,0.045,0.0,0.0,0.04,0.08,0.06,0.03
39,0.0,0.01,0.0,0.0,0.0,0.0,0.24,0.0,0.2,0.07,0.0
40,0.0,0.01,0.03,0.0,0.0,0.0,0.04,0.0,0.085,0.08,0.0
41,0.5,0.02,0.005,0.0,0.0,0.01,0.003333333333333333,0.0,0.02,0.03,0.01
42,0.01,0.04,0.09,0.0,0.01,0.04,0.02571428571428571,0.02,0.025,0.03,0.02
43,0.0,0.0,0.02,0.0,0.0,0.0,0.78,0.0,0.78,0.0,0.0
44,0.01,0.01,0.016666666666666666,0.0,0.01,0.0,0.0275,0.02,0.0,0.09,0.02
45,0.0,0.0,0.013333333333333332,0.01,0.03,0.0,0.075,0.0,0.11,0.07,0.0
46,0.91,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.02,0.0
47,0.0,0.016666666666666666,0.02,0.0,0.02,0.0,0.145,0.0,0.1,0.13,0.01
48,0.07,0.035,0.0875,0.0,0.05,0.02,0.05,0.01,0.05,0.06,0.0
49,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01
50,0.0,0.0,0.08,0.0,0.03,0.0,0.07,0.0,0.08,0.03,0.03333333333333333
51,0.03,0.044375,0.07,0.03,0.01,0.026666666666666665,0.04,0.02,0.05,0.1,0.03
52,0.01,0.01,0.085,0.03,0.02,0.0,0.05,0.01,0.06833333333333334,0.41,0.02
53,0.03,0.0,0.0825,0.01,0.01,0.05,0.03,0.006666666666666666,0.03,0.22,0.01
54,0.02,0.05,0.0325,0.0,0.04,0.0,0.04,0.01,0.1,0.03,0.01
55,0.04,0.02,0.0325,0.0,0.02,0.03,0.04,0.01,0.055,0.1075,0.011428571428571429
56,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.03,0.04,0.01
57,0.0,0.05,0.02,0.0,0.0,0.0,0.1,0.0,0.13,0.06,0.03
58,0.98,0.0,0.01,0.0,0.005,0.0,0.01,0.0,0.03,0.0,0.0
59,0.0,0.011666666666666667,0.02,0.0,0.02,0.01,0.04,0.0,0.18,0.02,0.0
60,0.03,0.02,0.05,0.0,0.02,0.0,0.06,0.01,0.09,0.06,0.02
61,0.03,0.003333333333333333,0.07333333333333333,0.0,0.03,0.0,0.04,0.02,0.07,0.10333333333333332,0.01
62,0.0,0.06916666666666667,0.09333333333333332,0.11,0.03,0.0,0.02,0.01,0.04,0.05,0.02
63,0.02,0.03333333333333333,0.08433333333333333,0.01,0.03,0.01,0.04,0.0,0.075,0.204,0.02
64,0.07,0.02,0.052000000000000005,0.04,0.035,0.02333333333333333,0.02,0.02,0.12,0.1225,0.03
65,0.0,0.7,0.66,0.0,0.05,0.0,0.01,0.02,0.01,0.08285714285714285,0.0
66,0.0,0.016666666666666666,0.17,0.0,0.02,0.0,0.05,0.0,0.02,0.0,0.0
67,0.01,0.03,0.05,0.02,0.0375,0.01,0.045,0.01,0.02,0.06,0.0
68,0.86,0.02,0.01,0.0,0.0,0.01,0.006666666666666666,0.01,0.0,0.04,0.0
69,0.0,0.01,0.02,0.0,0.0,0.01,0.04,0.0,0.08,0.04,0.11333333333333334
70,0.01,0.015,0.065,0.0,0.0,0.01,0.0,0.0,0.02,0.05,0.01
71,0.0,0.01,0.01,0.0,0.02,0.01,0.13333333333333333,0.0,0.225,0.0,0.0
72,0.02,0.04166666666666667,0.055,0.0,0.04,0.02,0.02,0.03,0.06,0.12,0.02
73,0.0,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.02,0.1225,0.02
74,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.03,0.18,0.0
75,0.0,0.0,0.54,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.065,0.15,0.0,0.03,0.01,0.06,0.06,0.14,0.13,0.06
77,0.0,0.01,0.03,0.03,0.01,0.01,0.05,0.01,0.23,0.04,0.02
78,0.0,0.01,0.025,0.0,0.0,0.0,0.03,0.0,0.05,0.055,0.0125
79,0.0,0.01,0.06,0.02,0.0,0.0,0.084,0.0,0.16,0.03,0.06
80,0.7,0.07,0.085,0.0,0.0225,0.01,0.01,0.01,0.05333333333333333,0.04,0.0
81,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.06,0.055,0.0
82,0.01,0.03,0.0775,0.0,0.02,0.04,0.05,0.01,0.07,0.02,0.0
83,0.03,0.28,0.055,0.02,0.01,0.03,0.03,0.03,0.05,0.0,0.01
84,0.04,0.04666666666666666,0.04,0.01,0.06,0.0,0.07,0.01,0.09,0.23,0.0
85,0.0,0.0,0.01,0.0,0.0,0.045,0.02,0.02,0.0,0.05,0.0
86,0.02,0.03,0.13,0.0,0.02,0.02,0.07,0.01,0.1,0.2,0.0
87,0.0,0.0,0.02,0.01,0.01,0.03,0.06,0.0,0.054000000000000006,0.01,0.01
88,0.02,0.01,0.062,0.02,0.0,0.01,0.033,0.01,0.08,0.17,0.01
89,0.56,0.06,0.10666666666666667,0.02,0.0,0.0,0.0,0.0,0.0325,0.07833333333333334,0.0
90,0.0,0.04,0.06,0.02,0.0,0.0,0.14,0.0,0.124,0.175,0.0
91,0.0,0.01,0.04,0.0,0.02,0.02,0.07666666666666667,0.0,0.39,0.05,0.0
92,0.0,0.3355238095238095,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.3555952380952382,0.0
93,0.02,0.035,0.01,0.0,0.0,0.0,0.01,0.0,0.03,0.345,0.0075
94,0.02,0.08333333333333331,0.09166666666666666,0.0,0.0,0.026666666666666665,0.03333333333333333,0.01,0.11,0.3,0.01
95,0.0,0.03,0.01,0.0,0.01,0.02,0.11,0.01,0.165,0.05,0.0
96,0.02,0.0,0.002,0.01,0.01,0.0,0.02,0.0,0.02,0.58,0.01
97,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0
98,0.02,0.07333333333333333,0.0745,0.0,0.0,0.0,0.03,0.08666666666666668,0.08666666666666668,0.09,0.01
99,0.0,0.01,0.3213333333333333,0.01,0.0,0.0,0.1,0.02,0.03,0.03,0.03
100,0.02,0.04,0.06,0.02,0.03,0.01,0.02,0.0,0.01,0.42,0.01
101,0.05,0.3808333333333333,0.2818333333333333,0.0,0.0,0.0,0.01,0.0,0.05,0.20166666666666663,0.02
102,0.0,0.015,0.042,0.01,0.0,0.0,0.02,0.0,0.09,0.33,0.0
103,0.0,0.035,0.05166666666666666,0.0,0.0,0.01,0.0,0.0,0.02,0.04,0.01
104,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.0
105,0.0,0.003333333333333333,0.01,0.0,0.015,0.0,0.1,0.0,0.14,0.05,0.01
106,0.0,0.042,0.0375,0.0,0.02,0.0,0.04,0.01,0.02,0.08166666666666667,0.01
107,0.0,0.02,0.06,0.0,0.0,0.041428571428571426,0.04,0.01,0.04,0.06,0.0
108,0.0,0.01,0.0,0.0,0.01,0.0,0.06,0.01,0.05,0.18,0.0
109,0.02,0.055,0.08,0.01,0.03,0.0,0.03,0.01,0.023333333333333334,0.07,0.0
110,0.07,0.02,0.02,0.0,0.0,0.0,0.02,0.01,0.075,0.055,0.0
111,0.02,0.015714285714285715,0.10216666666666667,0.0,0.0,0.0,0.01,0.0,0.05333333333333333,0.5430568181818182,0.0
112,0.01,0.0,0.03,0.0,0.005,0.0,0.04,0.0,0.11,0.02,0.0
113,0.0,0.035,0.02,0.0,0.02,0.01,0.06,0.0,0.02,0.25166666666666665,0.0
114,0.0,0.01,0.01,0.0,0.0,0.05176923076923077,0.01,0.0,0.04333333333333333,0.32766666666666666,0.0
115,0.38,0.03,0.065,0.01,0.01,0.0,0.01,0.01,0.02,0.05,0.01
116,0.84,0.01,0.02,0.03,0.018333333333333333,0.01,0.024,0.01,0.03,0.05,0.01
117,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
118,0.03,0.0,0.075,0.02,0.01,0.01,0.01,0.0,0.0375,0.1025,0.01
119,0.01,0.04666666666666666,0.07285714285714286,0.01,0.01,0.01,0.036000000000000004,0.05,0.0425,0.055,0.03
120,0.01,0.0,0.01,0.0,0.02,0.04,0.07,0.04,0.03,0.04,0.01
121,0.0,0.01,0.07,0.0,0.03,0.0,0.003333333333333333,0.0,0.04333333333333333,0.42333333333333334,0.01
122,0.0,0.05,0.08166666666666668,0.02,0.01,0.0,0.045,0.0,0.07,0.11,0.01
123,0.0,0.02,0.02,0.0,0.0,0.0,0.134,0.0,0.31,0.038,0.01
124,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.06,0.0
125,0.0,0.0,0.03333333333333333,0.0,0.0,0.01,0.11,0.01,0.19,0.01,0.01
126,0.0,0.0,0.057999999999999996,0.0,0.0,0.05,0.0,0.03,0.02,0.01,0.0
127,0.0,0.02333333333333333,0.06,0.0,0.01,0.0,0.03,0.0,0.03,0.061,0.0
128,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.1,0.02,0.0
129,0.0,0.0,0.04,0.03,0.0,0.0,0.01,0.0,0.02,0.305,0.0
130,0.05,0.08333333333333331,0.094,0.02,0.01,0.0025,0.05,0.04,0.08,0.20483333333333334,0.01
131,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.01,0.48,0.03,0.0
132,0.0,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.0325,0.056666666666666664,0.0
133,0.01,0.18,0.03,0.04,0.01,0.0,0.04,0.01,0.09666666666666668,0.09,0.0
134,0.0,0.07,0.13166666666666665,0.01,0.0,0.03,0.07,0.01,0.04,0.08,0.02
135,0.01,0.015,0.07,0.0,0.03,0.0,0.11666666666666668,0.01,0.04,0.05,0.0
136,0.0,0.03,0.1,0.0,0.06,0.0,0.07,0.0,0.02,0.06,0.0
137,0.0,0.04166666666666666,0.10933333333333334,0.01,0.03452380952380952,0.026666666666666665,0.3,0.0,0.085,0.1,0.01
138,0.0,0.015,0.06,0.0,0.01,0.0,0.1,0.01,0.12,0.27,0.26
139,0.89,0.03,0.02142857142857143,0.01,0.0,0.0,0.02,0.013333333333333332,0.01,0.0,0.02
140,0.0,0.0,0.024,0.01,0.0025,0.0,0.07,0.0,0.08,0.03,0.0
141,0.09,0.01,0.055,0.0,0.02,0.01,0.04,0.03,0.03,0.11,0.008
142,0.02,0.01,0.057,0.0,0.03666666666666667,0.01,0.72,0.0,0.11642857142857142,0.06,0.010833333333333332
143,0.0,0.0,0.025,0.0,0.0,0.01,0.22,0.0,0.19,0.11,0.0
144,0.0,0.0,0.04,0.0,0.01,0.0,0.03,0.02,0.03,0.62,0.0
145,0.4,0.07,0.035,0.0,0.01,0.0125,0.01,0.01,0.03666666666666667,0.04,0.04
146,0.02,0.055,0.1,0.0,0.005,0.0,0.03,0.02,0.03,0.10333333333333333,0.0
147,0.01,0.065,0.045,0.0,0.016666666666666666,0.01,0.03,0.013333333333333332,0.13,0.075,0.0
148,0.02,0.11716666666666667,0.5071666666666665,0.02,0.01,0.0,0.03,0.01,0.21895238095238095,0.02,0.01
149,0.47,0.002,0.01,0.01,0.0,0.0,0.01,0.0,0.0575,0.09,0.01
150,0.0,0.095,0.0645,0.0,0.03,0.0,0.01,0.02,0.09,0.14,0.04285714285714286
151,0.0,0.0,0.015,0.0,0.02,0.01,0.1,0.0,0.22,0.03,0.0
152,0.02,0.003333333333333333,0.07,0.02,0.0,0.0,0.04,0.0,0.05,0.14,0.021666666666666664
153,0.0,0.02,0.4261666666666666,0.0,0.016666666666666666,0.0,0.02,0.0,0.3678333333333333,0.36399999999999993,0.0
154,0.0,0.27985714285714286,0.026666666666666665,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.02
155,0.01,0.03,0.13,0.0,0.02,0.05,0.03,0.01,0.04,0.06,0.03
156,0.02,0.05,0.07,0.0,0.02,0.02,0.003333333333333333,0.01,0.04,0.155,0.0
157,0.01,0.0,0.16,0.0,0.01,0.02,0.0,0.01,0.13,0.3666666666666667,0.0
158,0.07,0.02,0.08333333333333334,0.0,0.0,0.0,0.02,0.026666666666666665,0.03333333333333333,0.1,0.016666666666666666
159,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.04,0.01,0.0
160,0.0,0.02,0.05333333333333333,0.1,0.15,0.01,0.04,0.03,0.08,0.05,0.0
161,0.04,0.15,0.07,0.0,0.1,0.01,0.0425,0.005,0.03,0.68,0.0
162,0.03,0.09,0.105,0.0,0.04,0.01,0.05,0.04,0.075,0.13,0.02
163,0.03,0.04666666666666666,0.05333333333333333,0.0,0.01,0.0,0.04333333333333334,0.02,0.03333333333333333,0.165,0.02
164,0.02,0.15756410256410255,0.1675,0.02,0.06333333333333332,0.025,0.03666666666666667,0.01,0.16,0.16,0.04
165,0.01,0.0,0.005,0.0,0.0,0.0,0.09,0.0,0.31,0.17,0.0
166,0.0,0.03,0.68,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0
167,0.04,0.016,0.028333333333333335,0.01,0.02,0.0,0.02,0.04,0.06,0.3525,0.03
168,0.0,0.01,0.71,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02
169,0.0,0.04333333333333334,0.0225,0.21,0.01,0.0,0.04,0.0,0.0,0.06,0.0
170,0.01,0.03,0.05,0.01,0.015,0.02,0.1,0.05,0.18,0.09,0.01
171,0.01,0.045,0.15333333333333332,0.0,0.01,0.0,0.0325,0.0,0.019999999999999997,0.13,0.0
172,0.38,0.02,0.06,0.05,0.0,0.01,0.016666666666666666,0.01,0.01,0.02333333333333333,0.03
173,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.3175,0.01,0.0
174,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.01,0.01,0.05,0.0
175,0.04,0.0275,0.06416666666666666,0.0,0.02,0.03,0.07,0.02,0.134,0.14,0.0
176,0.02,0.0,0.038,0.05,0.02,0.0,0.05333333333333333,0.0,0.05,0.0,0.01
177,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.04,0.35,0.0
178,0.01,0.025,0.0345,0.01,0.01,0.003333333333333333,0.013333333333333332,0.02,0.2,0.183,0.01
179,0.02,0.0,0.005,0.01,0.01,0.0,0.0,0.02,0.02,0.28,0.01
180,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.05,0.09,0.0
181,0.03,0.0825,0.0275,0.0,0.04,0.02,0.07,0.01,0.105,0.16,0.01
182,0.0,0.02,0.016666666666666666,0.0,0.0,0.0,0.1,0.01,0.27,0.07,0.01
183,0.01,0.03956521739130434,0.087,0.03,0.02,0.01,0.026000000000000002,0.01,0.03,0.18333333333333332,0.02333333333333333
184,0.01,0.04,0.085,0.0,0.0,0.0,0.085,0.02,0.06,0.38,0.01
185,0.01,0.04,0.05,0.0,0.01,0.0,0.02,0.01,0.07,0.15,0.0
186,0.0,0.005,0.0,0.0,0.02,0.01,0.06,0.0,0.48,0.03,0.0
187,0.0,0.01,0.20916666666666667,0.0,0.012,0.03,0.015,0.0,0.16952380952380952,0.7437857142857144,0.0
188,0.0,0.05,0.1575,0.0,0.015,0.01,0.07833333333333332,0.04,0.13635714285714287,0.126,0.02
189,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.1946153846153846,0.0,0.0
190,0.0,0.01,0.02,0.01,0.02,0.0,0.05,0.0,0.08,0.09,0.02
191,0.0,0.04,0.08666666666666668,0.03,0.015,0.0,0.01,0.0,0.02,0.125,0.0
192,0.0,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.02,0.07,0.0
193,0.0,0.005,0.025,0.01,0.0,0.0,0.16,0.03,0.05,0.01,0.02
194,0.0,0.0,0.01,0.0,0.09,0.01,0.19,0.0,0.31,0.05,0.0
195,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.07400000000000001,0.06,0.02
196,0.01,0.02,0.02,0.0,0.01,0.0,0.04,0.0,0.03,0.22,0.0
197,0.04,0.0,0.06,0.0,0.0,0.22,0.03,0.0,0.035,0.05,0.03
198,0.0,0.01,0.01,0.0,0.02,0.0,0.07,0.0,0.06,0.15,0.0
199,0.89,0.04,0.03,0.0,0.015,0.0,0.03,0.01,0.006666666666666666,0.04,0.0
200,0.02,0.01,0.03333333333333333,0.0,0.01,0.0275,0.11,0.0,0.09,0.095,0.0
201,0.0,0.01,0.05,0.0,0.0,0.0,0.04,0.0,0.05,0.06,0.0
202,0.87,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.0
203,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.1,0.0
204,0.0,0.01,0.03,0.0,0.02,0.0,0.07,0.02,0.145,0.08,0.0
205,0.01,0.02,0.08,0.0,0.02,0.01,0.06,0.005,0.18,0.05,0.01
206,0.02,0.01,0.07,0.0,0.01,0.0,0.075,0.0,0.08,0.1,0.03666666666666667
207,0.0,0.34,0.2,0.0,0.0,0.02,0.01,0.0,0.01,0.03,0.01
208,0.01,0.01,0.0,0.02,0.0,0.0,0.12,0.0,0.19,0.05,0.0
209,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.0
210,0.01,0.06833333333333334,0.32483333333333336,0.01,0.02,0.02,0.076,0.0,0.02,0.055,0.015
211,0.82,0.04,0.028333333333333332,0.0,0.03,0.01,0.035,0.0,0.04,0.06,0.0
212,0.0,0.075,0.085,0.0,0.03333333333333333,0.0,0.0725,0.02,0.065,0.18,0.075
213,0.01,0.02,0.04,0.02,0.03833333333333333,0.0,0.01,0.05,0.02,0.18,0.04
214,0.0,0.01,0.02,0.02,0.07,0.0,0.09,0.0,0.06,0.02,0.01
215,0.01,0.0,0.01,0.01,0.0,0.01,0.07,0.0,0.15,0.05,0.0
216,0.0,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.32,0.0,0.0
217,0.01,0.003333333333333333,0.1275,0.01,0.01,0.0,0.0125,0.01,0.06,0.18666666666666665,0.0
218,0.0,0.05,0.05,0.02,0.0,0.01,0.05,0.03,0.08,0.05,0.01
219,0.0,0.03,0.26776190476190476,0.01,0.03,0.0,0.023333333333333334,0.0,0.03,0.3524999999999999,0.02
220,0.08,0.06,0.08666666666666668,0.01,0.02,0.02,0.0325,0.01,0.08916666666666667,0.07833333333333332,0.0
221,0.73,0.01,0.055,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
222,0.01,0.015,0.065,0.0,0.0,0.01,0.0,0.0,0.02,0.05,0.01
223,0.01,0.02,0.035,0.0,0.06,0.01,0.09,0.03,0.16,0.04,0.01
224,0.01,0.02,0.05,0.0,0.0,0.0,0.055,0.0,0.02,0.055,0.0
225,0.0,0.09,0.04,0.01,0.02,0.01,0.01,0.01,0.05,0.03666666666666667,0.01
226,0.0,0.05,0.04,0.0,0.01,0.01,0.02,0.01,0.07,0.03,0.0
227,0.23,0.02,0.03,0.0,0.0,0.0,0.0,0.02,0.01,0.09,0.0
228,0.04,0.20350000000000001,0.1475,0.0,0.016666666666666666,0.03,0.02,0.03,0.025,0.08,0.035
229,0.99,0.0,0.01,0.0,0.01,0.01,0.006666666666666666,0.03,0.0,0.03,0.01
230,0.0,0.04,0.02,0.0,0.02,0.01,0.06,0.0,0.11,0.06,0.0
231,0.01,0.04,0.095,0.0,0.01,0.0,0.04,0.04,0.09333333333333332,0.23,0.03
232,0.0,0.01,0.006,0.0,0.0,0.0,0.05,0.0,0.11,0.06,0.01
233,0.0,0.06,0.09,0.01,0.0,0.0,0.01,0.0,0.04,0.08,0.01
234,0.0,0.0,0.2,0.0,0.0,0.0,0.03,0.0,0.03,0.015,0.0
235,0.01,0.004,0.12666666666666665,0.0,0.0,0.03,0.01,0.0,0.005,0.5333333333333333,0.0
236,0.01,0.02,0.07,0.0,0.04,0.01,0.01,0.0,0.12333333333333332,0.5,0.03
237,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01
238,0.0,0.01,0.03,0.0,0.03,0.01,0.02,0.0,0.08,0.02,0.01
239,0.0,0.01,0.445,0.0,0.0,0.01,0.04,0.0,0.02,0.06666666666666667,0.0
240,0.0,0.01,0.077,0.02,0.02,0.01,0.04,0.03,0.05,0.55,0.02
241,0.89,0.01,0.0125,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
242,0.0,0.05,0.04,0.0,0.025,0.0,0.03,0.03,0.04,0.349,0.0
243,0.0,0.02,0.03666666666666667,0.0,0.02,0.01,0.1625,0.02,0.09,0.10428571428571429,0.0
244,0.0,0.02,0.02,0.01,0.0,0.0,0.15666666666666668,0.01,0.201,0.23,0.0
245,0.07,0.07,0.15235714285714286,0.03,0.035,0.01,0.025333333333333333,0.04,0.1,0.09,0.034166666666666665
246,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4708333333333334,0.0,0.0
247,0.0,0.05,0.1025,0.01,0.0,0.0,0.06,0.0,0.01,0.08,0.01
248,0.01,0.06166666666666667,0.171,0.0,0.05,0.01,0.079,0.01,0.0,0.09416666666666668,0.026666666666666665
249,0.93,0.0,0.045,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.0
250,0.01,0.07,0.10666666666666667,0.01,0.02,0.015,0.07666666666666666,0.01,0.07666666666666667,0.185,0.02
251,0.0,0.01,0.04,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0
252,0.01,0.04166666666666667,0.1375,0.01,0.012857142857142855,0.01,0.03,0.03,0.05428571428571429,0.05,0.0
253,0.0,0.0,0.0325,0.0,0.005,0.01,0.14,0.0,0.13,0.06,0.0
254,0.0,0.0,0.02,0.0,0.01,0.02,0.19,0.0,0.35,0.04,0.01
255,0.0,0.0,0.02,0.01,0.0,0.01,0.12333333333333332,0.02,0.06,0.09,0.04
256,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.0,0.05,0.08,0.0
257,0.02,0.05,0.04,0.13,0.0,0.0,0.0325,0.0,0.05,0.09,0.01
258,0.0,0.01,0.035,0.0,0.026666666666666665,0.0,0.01,0.03,0.05,0.03,0.0
259,0.02,0.0425,0.1007142857142857,0.0,0.034333333333333334,0.025,0.10316666666666667,0.01,0.08,0.17,0.0425
260,0.03,0.0,0.01,0.01,0.01,0.0,0.03,0.0,0.09,0.03,0.0
261,0.0,0.0,0.0,0.0,0.03,0.01,0.09,0.0,0.1675,0.07,0.0
262,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.01,0.03,0.0
263,0.0,0.01,0.06,0.0,0.01,0.01,0.0,0.0,0.06333333333333334,0.32,0.0
264,0.0,0.028999999999999998,0.1,0.0,0.02,0.01,0.01,0.04,0.13523809523809524,0.08,0.03
265,0.01,0.05,0.04,0.06,0.034,0.01,0.03,0.0,0.055999999999999994,0.08,0.01
266,0.0,0.01,0.04,0.0,0.03,0.0,0.05,0.0,0.2,0.08,0.0
267,0.82,0.01,0.04,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0.016666666666666666
268,0.0,0.06,0.03,0.0,0.0,0.0,0.295,0.0,0.2,0.1,0.0
269,0.05,0.07,0.10333333333333332,0.03,0.02,0.05,0.065,0.06,0.07,0.1325,0.02
270,0.03,0.01,0.06433333333333333,0.0,0.04,0.015,0.01,0.02,0.04,0.125,0.005
271,0.0,0.005,0.03,0.03,0.0,0.0,0.04,0.0,0.03,0.06,0.01
272,0.0,0.01,0.05,0.03,0.0675,0.01,0.1,0.03,0.1,0.08,0.0
273,0.73,0.02333333333333333,0.03,0.01,0.0,0.01,0.01,0.04,0.03,0.03,0.02
274,0.01,0.09333333333333332,0.15,0.02,0.045,0.04,0.0475,0.0,0.05,0.10333333333333332,0.02
275,0.0,0.026666666666666665,0.06583333333333334,0.0,0.02,0.0,0.05333333333333333,0.0,0.0,0.10083333333333334,0.0
